firstName,lastName,year,teamname,leaguename,phase,draftRound,overall,signed,"drafting team",draftPosit,borndate,place,ht,WT,Bats,Throws,draftRegionID,PlayerID,retroid,mlbid,playerClass,schoolDivision,g,ab,r,h,dbl,tpl,hr,rbi,sb,cs,bb,so,hbp,sh,sf,ibb,gdp,tb,pa,xbh,sgl,avg,obp,slg,ops,seca,iso,babip,bb%,so%,so/bb,ab/hr
Colin,Simpson,2019,"Oklahoma State","Big 12 Conference",June-Reg,29,879,Y,"Colorado Rockies",C,7/23/1996,"Edmond,OK",'5-8,228,L,R,OK,201180,,685388,Sr,"NCAA 1",61,233,41,57,13,0,17,57,5,2,35,70,6,0,8,0,4,121,282,30,27,.245,.348,.519,.867,.438,.274,.260,12.41,24.82,2.00,13.71
Bryce,Windham,2019,"Old Dominion","Conference USA",June-Reg,32,972,Y,"Chicago Cubs",2B,9/25/1996,"Norfolk,VA",'5-10,190,L,R,VA,201203,,690180,Sr,"NCAA 1",56,216,61,73,4,2,3,25,9,5,46,13,5,3,1,0,2,90,271,9,64,.338,.463,.417,.880,.310,.079,.348,16.97,4.80,0.28,72.00
Matt,O'Neill,2019,Penn,"Ivy League",June-Reg,20,598,Y,"New York Mets",C,8/20/1997,"Morristown,NJ",'5-11,205,R,R,PA,201240,,690841,Sr,"NCAA 1",40,158,41,64,15,2,5,40,2,1,40,36,2,0,1,0,3,98,201,22,42,.405,.527,.620,1.147,.475,.215,.500,19.90,17.91,0.90,31.60
Jacson,McGowan,2018,Purdue,"Big Ten Conference",June-Reg,11,330,Y,"Tampa Bay Rays",1B,6/18/1997,"Brownsburg,IN",'6-3,212,R,R,IN,201282,,681531,Jr,"NCAA 1",59,204,39,62,10,0,13,59,2,2,49,51,6,0,6,0,8,111,265,23,39,.304,.442,.544,.986,.480,.240,.336,18.49,19.25,1.04,15.69
Andrew,Nardi,2019,Arizona,"Pacific-12 Conference",June-Reg,16,471,Y,"Miami Marlins",P,8/18/1998,"West Hills,CA",'6-3,215,L,L,AZ,201305,narda001,677053,Jr,"NCAA 1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,.000,.000,0.00,0.00,0.00,0.00
Kyle,Schmidt,2019,Richmond,"Atlantic 10 Conference",June-Reg,33,989,Y,"Minnesota Twins",C,7/13/1997,"Austin,TX",'6-0,205,R,R,VA,201343,,686619,Sr,"NCAA 1",47,170,34,59,12,0,4,37,0,0,21,26,3,2,6,0,1,83,202,16,43,.347,.415,.488,.903,.265,.141,.377,10.40,12.87,1.24,42.50
James,Outman,2018,"Sacramento State","Western Athletic Conference",June-Reg,7,224,Y,"Los Angeles Dodgers",RF,5/14/1997,"Redwood City,CA",'6-2,215,L,R,CA,201358,outmj002,681546,Jr,"NCAA 1",60,229,43,58,15,3,11,40,12,2,38,60,3,0,3,0,2,112,273,29,29,.253,.363,.489,.852,.445,.236,.292,13.92,21.98,1.58,20.82
Miller,Hogan,2018,"Saint Louis","Atlantic 10 Conference",June-Reg,6,180,Y,"Tampa Bay Rays",P,7/18/1996,"Overland Park,KS",'6-2,200,R,R,MO,201384,,676949,Jr,"NCAA 1",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,.000,.000,0.00,0.00,0.00,0.00
Drew,Fregia,2018,"Sam Houston State","Southland Conference",June-Reg,13,385,Y,"Baltimore Orioles",3B,12/18/1996,"Liberty,TX",'6-1,170,R,R,TX,201401,,679765,Jr,"NCAA 1",56,229,53,75,12,7,11,49,11,6,17,46,7,3,5,0,2,134,261,30,45,.328,.384,.585,.969,.354,.257,.362,6.51,17.62,2.71,20.82
Hunter,Hearn,2019,"Sam Houston State","Southland Conference",June-Reg,26,780,Y,"Philadelphia Phillies",OF,10/30/1996,"Crosby,TX",'6-2,205,R,R,TX,201402,,679766,Sr,"NCAA 1",56,226,44,76,17,4,11,51,3,3,15,31,4,0,4,0,5,134,249,32,44,.336,.382,.593,.975,.323,.257,.346,6.02,12.45,2.07,20.55
Jordan,Cannon,2019,"Sam Houston State","Southland Conference",June-Reg,10,288,Y,"Baltimore Orioles",C,11/28/1996,"Centerville,TX",'6-3,210,R,R,TX,201410,,679779,Sr,"NCAA 1",53,188,38,70,12,2,4,37,14,4,18,27,13,5,3,0,7,98,227,18,52,.372,.455,.521,.976,.298,.149,.413,7.93,11.89,1.50,47.00
Jeff,Houghtby,2019,"San Diego","West Coast Conference",June-Reg,10,296,Y,"San Francisco Giants",SS,5/13/1997,"San Diego,CA",'5-11,175,L,R,CA,201419,,674028,Sr,"NCAA 1",48,170,30,58,12,1,5,38,4,1,23,21,8,1,2,0,4,87,204,18,40,.341,.438,.512,.950,.324,.171,.363,11.27,10.29,0.91,34.00
Brhet,Bewley,2018,"San Diego","West Coast Conference",June-Reg,32,962,Y,"Kansas City Royals",3B,1/30/1997,"Temecula,CA",'5-11,182,R,R,CA,201420,,674029,Jr,"NCAA 1",55,203,31,59,8,2,8,44,0,1,27,43,3,2,4,0,4,95,239,18,41,.291,.376,.468,.844,.305,.177,.327,11.30,17.99,1.59,25.38
Paul,Richan,2018,"San Diego","West Coast Conference",June-Reg,2,78,Y,"Chicago Cubs",P,3/26/1997,"Newhall,CA",'6-2,200,R,R,CA,201425,,674042,Jr,"NCAA 1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,.000,.000,0.00,0.00,0.00,0.00
Roman,Garcia,2017,"San Diego","West Coast Conference",June-Reg,19,571,Y,"Houston Astros",1B,11/22/1995,"Coronado,CA",'6-1,210,R,R,CA,201426,,674043,5S,"NCAA 1",53,209,39,61,22,0,14,53,2,1,14,44,7,0,2,0,4,125,232,36,25,.292,.353,.598,.951,.378,.306,.307,6.03,18.97,3.14,14.93
Jay,Schuyler,2018,"San Diego","West Coast Conference",June-Reg,7,199,Y,"Cincinnati Reds",C,4/11/1997,"Newport Beach,CA",'6-1,194,R,R,CA,201427,,674033,Jr,"NCAA 1",55,219,38,75,10,1,7,38,5,4,24,30,5,0,3,0,3,108,251,18,57,.342,.414,.493,.907,.265,.151,.368,9.56,11.95,1.25,31.29
Dean,Nevarez,2018,"San Diego State","Mountain West Conference",June-Reg,19,568,Y,"Seattle Mariners",C,1/4/1997,"Tijuana,MX",'6-0,220,R,R,CA,201442,,681944,Jr,"NCAA 1",55,201,36,59,11,0,8,32,1,1,26,47,3,0,3,0,2,94,233,19,40,.294,.378,.468,.846,.303,.174,.342,11.16,20.17,1.81,25.13
Brendt,Citta,2018,Kansas,"Big 12 Conference",June-Reg,38,1134,Y,"Pittsburgh Pirates",C,7/12/1996,"Mountain View,CA",'6-2,180,R,R,KS,201464,,663923,Jr,"NCAA 1",56,205,39,66,17,1,4,34,3,3,17,37,9,0,1,0,8,97,232,22,44,.322,.397,.473,.870,.234,.151,.376,7.33,15.95,2.18,51.25
Jonah,Bride,2018,"South Carolina","Southeastern Conference",June-Reg,23,683,Y,"Oakland Athletics",3B,12/27/1995,"Owasso,OK",'5-11,200,R,R,SC,201523,bridj001,681146,Sr,"NCAA 1",63,229,40,69,12,1,4,31,1,1,34,37,14,0,2,0,1,95,279,17,52,.301,.419,.415,.834,.262,.114,.342,12.19,13.26,1.09,57.25
TJ,Hopkins,2019,"South Carolina","Southeastern Conference",June-Reg,9,264,Y,"Cincinnati Reds",OF,1/16/1997,"Summerville,SC",'6-1,195,R,R,SC,201526,hopkt001,686759,Sr,"NCAA 1",56,214,49,61,11,3,11,42,18,4,27,49,1,0,3,0,3,111,245,25,36,.285,.363,.519,.882,.425,.234,.318,11.02,20.00,1.81,19.45
David,Villar,2018,"South Florida","American Athletic Conference",June-Reg,11,316,Y,"San Francisco Giants",3B,1/27/1997,"Atlanta,GA",'5-11,216,R,R,FL,201562,villd001,681584,Jr,"NCAA 1",59,219,53,82,24,0,12,59,1,0,28,58,15,0,8,0,7,142,270,36,46,.374,.463,.648,1.111,.406,.274,.446,10.37,21.48,2.07,18.25
Duke,Kinamon,2019,Stanford,"Pacific-12 Conference",June-Reg,24,728,Y,"Tampa Bay Rays",SS,9/4/1996,"Fairfield,CA",'5-11,185,R,R,CA,201636,,682189,Sr,"NCAA 1",50,185,39,56,12,0,6,32,12,4,8,33,6,2,2,0,1,86,203,18,38,.303,.348,.465,.813,.249,.162,.338,3.94,16.26,4.13,30.83
Nico,Hoerner,2018,Stanford,"Pacific-12 Conference",June-Reg,1,24,Y,"Chicago Cubs",SS,5/13/1997,"Oakland,CA",'5-11,200,R,R,CA,201654,hoern001,663538,Jr,"NCAA 1",56,229,44,80,17,6,2,40,15,4,19,22,1,0,5,0,3,115,254,25,55,.349,.394,.502,.896,.284,.153,.371,7.48,8.66,1.16,114.50
David,Garza,2018,"Tennessee Tech","Ohio Valley Conference",June-Reg,38,1149,Y,"Arizona Diamondbacks",SS,2/19/1995,"Othello,WA",'6-1,200,R,R,TN,201727,,682244,Sr,"NCAA 1",65,264,69,82,17,0,17,72,4,2,36,47,6,2,5,0,8,150,313,34,48,.311,.399,.568,.967,.402,.257,.317,11.50,15.02,1.31,15.53
Kevin,Strohschein,2019,"Tennessee Tech","Ohio Valley Conference",June-Reg,21,633,Y,"Washington Nationals",1B,7/25/1997,"McDonough,GA",'6-1,215,R,R,TN,201733,,680959,Sr,"NCAA 1",54,233,57,89,23,2,15,47,2,3,26,45,3,0,2,0,1,161,264,40,49,.382,.447,.691,1.138,.416,.309,.423,9.85,17.05,1.73,15.53
Dustin,Lacaze,2019,"Texas A&M Corpus Christi","Southland Conference",June-Reg,21,632,Y,"Arizona Diamondbacks",P,12/17/1996,"Angleton,TX",'6-1,207,R,R,TX,201768,,686778,Jr,"NCAA 1",3,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,.000,.000,0.00,0.00,0.00,0.00
Noah,Vaughan,2018,"UT Arlington","Sun Belt Conference",June-Reg,12,353,Y,"Oakland Athletics",OF,6/6/1997,"Conroe,TX",'6-3,200,L,L,TX,201785,,674310,Jr,"NCAA 1",57,221,35,61,6,6,14,33,4,3,28,76,10,0,0,0,3,121,259,26,35,.276,.382,.548,.930,.403,.272,.359,10.81,29.34,2.71,15.79
Cam,Warner,2017,"Texas Christian","Big 12 Conference",June-Reg,28,845,Y,"Detroit Tigers",2B,3/4/1994,"Canberra,AU",'6-2,188,R,R,TX,201787,,599697,SR,"NCAA 1",68,268,51,76,12,0,5,49,10,3,33,40,3,0,4,0,5,103,308,17,59,.284,.364,.384,.748,.250,.100,.313,10.71,12.99,1.21,53.60
Josh,Watson,2019,"Texas Christian","Big 12 Conference",June-Reg,15,464,Y,"Oakland Athletics",OF,9/10/1996,"Arlington,TX",'5-11,205,B,R,TX,201788,,663848,Sr,"NCAA 1",59,237,54,78,20,0,10,42,9,4,36,43,9,0,2,0,4,128,284,30,48,.329,.433,.540,.973,.384,.211,.366,12.68,15.14,1.19,23.70
Jose,Garcia,2017,UTRGV,"Western Athletic Conference",June-Reg,25,747,Y,"Chicago White Sox",OF,7/25/1995,"San Luis Rio Colorado,MX",'6-0,210,R,R,TX,201807,,676869,SR,"NCAA 1",52,183,44,58,12,2,7,33,9,8,42,25,7,3,4,0,0,95,239,21,37,.317,.453,.519,.972,.437,.202,.329,17.57,10.46,0.60,26.14
Anthony,Gomez,2019,UTRGV,"Western Athletic Conference",June-Reg,34,1023,Y,"Washington Nationals",2B,10/2/1996,"Hollywood,FL",'6-1,185,R,R,TX,201808,,689753,Sr,"NCAA 1",55,221,39,69,10,2,4,49,5,2,30,33,1,4,5,0,3,95,261,16,53,.312,.389,.430,.819,.267,.118,.344,11.49,12.64,1.10,55.25
Jonathan,Ortega,2018,"Texas State","Sun Belt Conference",June-Reg,19,580,Y,"Boston Red Sox",2B,9/27/1996,"Victoria,TX",'5-8,185,R,R,TX,201837,,681954,Jr,"NCAA 1",59,236,39,66,14,0,5,35,13,3,29,23,4,2,5,0,4,95,276,19,47,.280,.361,.403,.764,.288,.123,.286,10.51,8.33,0.79,47.20
Cody,Farhat,2018,"Texas Tech","Big 12 Conference",June-Reg,23,703,Y,"Cleveland Indians",CF,9/26/1996,"Plano,TX",'6-1,185,R,R,TX,201851,,663821,Jr,"NCAA 1",64,212,51,62,9,3,5,39,16,6,33,40,15,5,3,0,7,92,268,17,45,.292,.418,.434,.852,.344,.142,.335,12.31,14.93,1.21,42.40
Bryan,Arias,2019,"UT San Antonio","Conference USA",June-Reg,28,856,Y,"Houston Astros",2B,6/6/1997,"San Antonio,TX",'5-11,205,R,R,TX,201866,,687035,Sr,"NCAA 1",56,214,58,72,14,2,10,40,10,3,43,37,6,0,1,0,5,120,264,26,46,.336,.458,.561,1.019,.458,.225,.369,16.29,14.02,0.86,21.40
Ross,Adolph,2018,Toledo,"Mid-American Conference",June-Reg,12,350,Y,"New York Mets",CF,12/17/1996,"Findlay,OH",'5-11,190,L,R,OH,201884,,680244,Jr,"NCAA 1",55,214,50,69,14,6,15,56,12,4,37,47,12,0,2,0,4,140,265,35,34,.322,.445,.654,1.099,.542,.332,.351,13.96,17.74,1.27,14.27
Richie,Palacios,2018,Towson,"Colonial Athletic Association",June-Reg,3,103,Y,"Cleveland Indians",SS,5/16/1997,"Brooklyn,NY",'5-9,185,L,R,MD,201892,palaj002,680700,Jr,"NCAA 1",55,196,56,59,18,0,8,31,25,1,52,16,5,0,1,0,3,101,254,26,33,.301,.457,.515,.972,.602,.214,.295,20.47,6.30,0.31,24.50
Brandon,Lockridge,2018,Troy,"Sun Belt Conference",June-Reg,5,157,Y,"New York Yankees",CF,3/14/1997,"Pensacola,FL",'5-11,185,R,R,AL,201907,lockb001,663604,Jr,"NCAA 1",63,244,50,75,16,7,4,39,25,3,37,46,17,0,3,0,2,117,301,27,48,.307,.429,.480,.909,.414,.173,.360,12.29,15.28,1.24,61.00
